Date,Temperature,Humidity,WindSpeed,Rainfall,Month,Year,Season,Month_Year,Rolling_Avg
2022-01-01,18.0,83.9,8.8,2.0,January,2022,Winter,2022-01,
2022-01-02,17.7,82.0,7.4,1.1,January,2022,Winter,2022-01,
2022-01-03,18.0,79.6,8.6,3.0,January,2022,Winter,2022-01,
2022-01-04,17.3,83.8,8.8,1.8,January,2022,Winter,2022-01,
2022-01-05,16.7,82.3,8.7,3.5,January,2022,Winter,2022-01,
2022-01-06,18.1,81.1,13.3,4.3,January,2022,Winter,2022-01,
2022-01-07,21.8,82.3,7.9,0.8,January,2022,Winter,2022-01,82.14285714285714
2022-01-08,19.3,71.8,7.0,4.5,January,2022,Winter,2022-01,80.41428571428571
2022-01-09,18.3,91.9,4.6,0.9,January,2022,Winter,2022-01,81.82857142857142
2022-01-10,16.8,90.2,10.4,0.0,January,2022,Winter,2022-01,83.34285714285714
2022-01-11,16.5,74.8,6.8,0.0,January,2022,Winter,2022-01,82.05714285714285
2022-01-12,14.8,86.1,9.5,1.9,January,2022,Winter,2022-01,82.60000000000001
2022-01-13,17.8,78.6,12.8,0.0,January,2022,Winter,2022-01,82.24285714285715
2022-01-14,17.2,79.9,8.4,3.2,January,2022,Winter,2022-01,81.89999999999999
2022-01-15,19.9,85.0,7.6,0.7,January,2022,Winter,2022-01,83.78571428571429
2022-01-16,18.3,85.5,10.2,1.3,January,2022,Winter,2022-01,82.87142857142858
2022-01-17,17.2,87.5,5.3,0.9,January,2022,Winter,2022-01,82.48571428571428
2022-01-18,20.5,75.7,17.7,1.2,January,2022,Winter,2022-01,82.61428571428571
2022-01-19,17.2,79.7,8.1,1.6,January,2022,Winter,2022-01,81.7
2022-01-20,20.4,80.8,10.0,0.9,January,2022,Winter,2022-01,82.01428571428572
2022-01-21,19.2,85.5,9.9,3.4,January,2022,Winter,2022-01,82.81428571428572
2022-01-22,18.1,90.2,8.7,2.0,January,2022,Winter,2022-01,83.55714285714286
2022-01-23,20.2,83.8,12.7,2.6,January,2022,Winter,2022-01,83.31428571428572
2022-01-24,21.1,81.2,14.1,2.9,January,2022,Winter,2022-01,82.41428571428573
2022-01-25,13.9,97.3,9.7,3.8,January,2022,Winter,2022-01,85.5
2022-01-26,18.8,76.0,7.5,3.8,January,2022,Winter,2022-01,84.97142857142856
2022-01-27,23.0,76.7,5.8,3.0,January,2022,Winter,2022-01,84.38571428571429
2022-01-28,18.1,76.7,10.1,2.3,January,2022,Winter,2022-01,83.12857142857142
2022-01-29,19.6,80.1,6.3,1.2,January,2022,Winter,2022-01,81.68571428571428
2022-01-30,20.9,89.0,14.5,0.0,January,2022,Winter,2022-01,82.42857142857143
2022-01-31,18.5,84.9,13.6,1.1,January,2022,Winter,2022-01,82.95714285714287
2022-02-01,16.9,74.5,9.2,2.0,February,2022,Summer,2022-02,79.7
2022-02-02,21.4,88.3,6.4,4.8,February,2022,Summer,2022-02,81.45714285714287
2022-02-03,19.2,62.4,8.8,0.0,February,2022,Summer,2022-02,79.41428571428571
2022-02-04,19.8,80.0,4.0,1.0,February,2022,Summer,2022-02,79.88571428571429
2022-02-05,18.7,82.0,6.2,1.5,February,2022,Summer,2022-02,80.15714285714286
2022-02-06,17.1,94.4,8.7,2.8,February,2022,Summer,2022-02,80.92857142857143
